timestamp,rms_voltage(V),sound_level(dB SPL)
2025-12-16 14:22:52,0.097234176,79.76
2025-12-16 14:23:52,0.097226680,79.76
2025-12-16 14:24:53,0.097232926,79.76
2025-12-16 14:25:53,0.097234593,79.76
2025-12-16 14:26:53,0.097233760,79.76
2025-12-16 14:27:52,0.097216683,79.75
2025-12-16 14:28:52,0.097232510,79.76
2025-12-16 14:29:53,0.097210851,79.75
2025-12-16 14:30:53,0.097200853,79.75
2025-12-16 14:31:52,0.097202102,79.75
2025-12-16 14:32:52,0.097196686,79.75
2025-12-16 14:33:53,0.097199603,79.75
2025-12-16 14:34:52,0.097200436,79.75
2025-12-16 14:35:52,0.097183771,79.75
2025-12-16 14:36:52,0.097170436,79.75
2025-12-16 14:37:53,0.097177520,79.75
2025-12-16 14:38:53,0.097156266,79.75
2025-12-16 14:39:52,0.097161267,79.75
2025-12-16 14:40:52,0.097153347,79.75
2025-12-16 14:41:53,0.097162101,79.75
2025-12-16 14:42:53,0.097167935,79.75
2025-12-16 14:43:52,0.097153348,79.75
2025-12-16 14:44:52,0.097147929,79.75
2025-12-16 14:45:53,0.097147512,79.75
2025-12-16 14:46:53,0.097151263,79.75
