timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
14:42:20,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:21,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:22,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:23,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:24,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:25,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:26,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:27,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:28,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:29,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:30,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:31,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:32,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:33,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:34,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:35,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:36,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:37,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:38,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:39,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:40,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:41,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:42,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:43,0.17,-0.20,1.00,0.00,0.00,0.00
14:42:44,0.17,-0.20,1.00,0.00,0.00,0.00
14:43:48,0.17,-0.20,1.00,0.00,0.00,0.00
14:43:49,0.17,-0.20,1.00,0.00,0.00,0.00
14:43:51,0.17,-0.20,1.00,0.00,0.00,0.00
14:43:52,0.17,-0.20,1.00,0.00,0.00,0.00
14:43:53,0.17,-0.20,1.00,0.00,0.00,0.00
14:43:54,0.17,-0.20,1.00,0.00,0.00,0.00
14:43:55,0.17,-0.20,1.00,0.00,0.00,0.00
14:43:56,0.17,-0.20,1.00,0.00,0.00,0.00
14:43:57,0.17,-0.20,1.00,0.00,0.00,0.00
14:43:58,0.17,-0.20,1.00,0.00,0.00,0.00
14:43:59,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:00,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:01,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:02,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:03,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:04,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:05,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:06,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:07,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:08,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:09,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:10,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:11,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:12,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:13,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:14,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:15,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:16,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:17,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:18,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:19,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:20,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:21,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:22,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:23,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:24,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:25,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:26,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:27,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:28,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:29,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:30,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:31,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:32,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:33,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:34,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:35,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:36,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:37,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:38,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:39,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:40,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:41,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:42,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:43,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:44,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:45,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:46,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:47,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:48,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:49,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:50,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:51,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:52,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:53,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:54,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:55,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:56,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:57,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:58,0.17,-0.20,1.00,0.00,0.00,0.00
14:44:59,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:00,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:01,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:02,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:03,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:04,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:05,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:06,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:07,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:08,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:09,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:10,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:11,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:12,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:13,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:14,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:15,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:16,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:17,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:18,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:19,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:20,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:21,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:22,0.17,-0.20,1.00,0.00,0.00,0.00
14:45:23,0.17,-0.20,1.00,0.00,0.00,0.00
