timestamp_utc,system_uptime_s,sound_detected,is_buzzer_on
2025-09-28 19:26:02,1837.07,1,1
2025-09-28 19:26:03,1838.07,1,1
2025-09-28 19:26:04,1839.07,1,1
2025-09-28 19:26:05,1840.07,1,1
2025-09-28 19:26:06,1841.08,1,1
2025-09-28 19:26:08,1843.08,1,0
2025-09-28 19:26:09,1844.08,1,0
2025-09-28 19:26:10,1845.08,1,0
2025-09-28 19:26:11,1846.08,1,0
2025-09-28 19:26:12,1847.08,1,0
