timestamp_utc,system_uptime_s,sound_detected,is_buzzer_on
2025-09-28 13:34:20,643.77,1,1
2025-09-28 13:34:20,643.77,1,1
2025-09-28 13:34:20,643.77,1,1
2025-09-28 13:34:20,643.77,1,1
2025-09-28 13:34:20,643.77,1,1
2025-09-28 13:34:20,643.77,1,0
2025-09-28 13:34:20,643.77,1,0
2025-09-28 13:34:20,643.77,1,0
2025-09-28 13:34:20,643.77,1,0
2025-09-28 13:34:20,643.77,1,0
2025-09-28 13:34:30,653.79,1,1
2025-09-28 13:34:30,653.79,1,1
2025-09-28 13:34:30,653.79,1,1
2025-09-28 13:34:30,653.79,1,1
2025-09-28 13:34:30,653.79,1,1
2025-09-28 13:34:30,653.79,1,0
2025-09-28 13:34:30,653.79,1,0
2025-09-28 13:34:30,653.79,1,0
2025-09-28 13:34:30,653.79,1,0
2025-09-28 13:34:30,653.79,1,0
2025-09-28 13:34:45,668.81,1,1
2025-09-28 13:34:45,668.81,1,1
2025-09-28 13:34:45,668.81,1,1
2025-09-28 13:34:45,668.81,1,1
2025-09-28 13:34:45,668.81,1,1
2025-09-28 13:34:45,668.81,1,0
2025-09-28 13:34:45,668.81,1,0
2025-09-28 13:34:45,668.81,1,0
2025-09-28 13:34:45,668.81,1,0
2025-09-28 13:35:00,684.31,1,1
2025-09-28 13:35:00,684.31,1,1
2025-09-28 13:35:00,684.31,1,1
2025-09-28 13:35:00,684.31,1,1
2025-09-28 13:35:00,684.31,1,1
2025-09-28 13:35:00,684.31,1,0
2025-09-28 13:35:00,684.31,1,0
2025-09-28 13:35:00,684.31,1,0
2025-09-28 13:35:00,684.31,1,0
2025-09-28 13:35:00,684.31,1,0
2025-09-28 13:35:10,694.33,1,1
2025-09-28 13:35:10,694.33,1,1
2025-09-28 19:15:47,1221.63,1,1
2025-09-28 19:15:48,1222.63,1,1
2025-09-28 19:15:49,1223.63,1,1
2025-09-28 19:15:50,1224.63,1,1
2025-09-28 19:15:51,1225.63,1,1
2025-09-28 19:15:53,1227.64,1,0
2025-09-28 19:15:54,1228.64,1,0
2025-09-28 19:15:55,1229.64,1,0
2025-09-28 19:15:56,1230.65,1,0
2025-09-28 19:15:57,1231.65,1,0
