timestamp_utc,system_uptime_s,sound_detected,is_buzzer_on
2025-09-28 13:34:20,643.77,1,1
2025-09-28 13:34:20,643.77,1,1
2025-09-28 13:34:20,643.77,1,1
2025-09-28 13:34:20,643.77,1,1
2025-09-28 13:34:20,643.77,1,1
2025-09-28 13:34:20,643.77,1,0
2025-09-28 13:34:20,643.77,1,0
2025-09-28 13:34:20,643.77,1,0
2025-09-28 13:34:20,643.77,1,0
2025-09-28 13:34:20,643.77,1,0
2025-09-28 13:34:30,653.79,1,1
2025-09-28 13:34:30,653.79,1,1
2025-09-28 13:34:30,653.79,1,1
2025-09-28 13:34:30,653.79,1,1
2025-09-28 13:34:30,653.79,1,1
2025-09-28 13:34:30,653.79,1,0
2025-09-28 13:34:30,653.79,1,0
2025-09-28 13:34:30,653.79,1,0
2025-09-28 13:34:30,653.79,1,0
2025-09-28 13:34:30,653.79,1,0
2025-09-28 13:34:45,668.81,1,1
2025-09-28 13:34:45,668.81,1,1
2025-09-28 13:34:45,668.81,1,1
2025-09-28 13:34:45,668.81,1,1
2025-09-28 13:34:45,668.81,1,1
2025-09-28 13:34:45,668.81,1,0
2025-09-28 13:34:45,668.81,1,0
2025-09-28 13:34:45,668.81,1,0
2025-09-28 13:34:45,668.81,1,0
2025-09-28 13:35:00,684.31,1,1
2025-09-28 13:35:00,684.31,1,1
2025-09-28 13:35:00,684.31,1,1
2025-09-28 13:35:00,684.31,1,1
2025-09-28 13:35:00,684.31,1,1
2025-09-28 13:35:00,684.31,1,0
2025-09-28 13:35:00,684.31,1,0
2025-09-28 13:35:00,684.31,1,0
2025-09-28 13:35:00,684.31,1,0
2025-09-28 13:35:00,684.31,1,0
