timestamp_utc,system_uptime_s,sound_detected,is_buzzer_on
2025-09-29 08:31:31,653.12,1,1
2025-09-29 08:31:32,654.12,1,1
2025-09-29 08:31:33,655.13,1,1
2025-09-29 08:31:34,656.13,1,1
2025-09-29 08:31:35,657.13,1,1
2025-09-29 08:31:37,659.13,1,0
2025-09-29 08:31:38,660.13,1,0
2025-09-29 08:31:39,661.14,1,0
2025-09-29 08:31:40,662.14,1,0
2025-09-29 08:31:41,663.14,1,0
2025-09-29 12:34:45,426.05,1,1
2025-09-29 12:34:46,427.06,1,1
2025-09-29 12:34:47,428.06,1,1
2025-09-29 12:34:48,429.07,1,1
2025-09-29 12:34:49,430.07,1,1
2025-09-29 12:34:51,432.08,1,0
2025-09-29 12:34:52,433.08,1,0
2025-09-29 12:34:53,434.08,1,0
2025-09-29 12:34:54,435.08,1,0
2025-09-29 12:34:55,436.09,1,0
2025-09-29 12:54:56,1637.10,1,1
2025-09-29 12:54:57,1638.10,1,1
2025-09-29 12:54:58,1639.10,1,1
2025-09-29 12:54:59,1640.10,1,1
2025-09-29 12:55:00,1641.11,1,1
2025-09-29 12:55:02,1643.11,1,0
2025-09-29 12:55:03,1644.11,1,0
2025-09-29 12:55:04,1645.11,1,0
2025-09-29 12:55:05,1646.11,1,0
2025-09-29 12:55:06,1647.11,1,0
2025-09-29 13:15:07,2848.12,1,1
2025-09-29 13:15:08,2849.12,1,1
2025-09-29 13:15:09,2850.12,1,1
2025-09-29 13:15:10,2851.13,1,1
2025-09-29 13:15:11,2852.13,1,1
2025-09-29 13:15:13,2854.13,1,0
2025-09-29 13:15:14,2855.13,1,0
2025-09-29 13:15:15,2856.13,1,0
2025-09-29 13:15:16,2857.13,1,0
2025-09-29 13:15:17,2858.14,1,0
2025-09-29 13:35:18,4059.14,1,1
2025-09-29 13:35:19,4060.14,1,1
2025-09-29 13:35:20,4061.15,1,1
2025-09-29 13:35:21,4062.15,1,1
2025-09-29 13:35:22,4063.15,1,1
2025-09-29 13:35:24,4065.15,1,0
2025-09-29 13:35:25,4066.16,1,0
2025-09-29 13:35:26,4067.16,1,0
2025-09-29 13:35:27,4068.16,1,0
2025-09-29 13:35:28,4069.16,1,0
2025-09-29 13:53:09,162.04,1,1
2025-09-29 13:53:10,163.04,1,1
2025-09-29 13:53:11,164.04,1,1
2025-09-29 13:53:12,165.05,1,1
2025-09-29 13:53:13,166.05,1,1
2025-09-29 13:53:15,168.05,1,0
2025-09-29 13:53:16,169.05,1,0
2025-09-29 13:53:17,170.05,1,0
2025-09-29 13:53:18,171.06,1,0
2025-09-29 13:53:19,172.06,1,0
2025-09-29 14:13:20,1373.07,1,1
2025-09-29 14:13:21,1374.07,1,1
2025-09-29 14:13:22,1375.07,1,1
2025-09-29 14:13:23,1376.07,1,1
2025-09-29 14:13:24,1377.08,1,1
2025-09-29 14:13:26,1379.08,1,0
2025-09-29 14:13:27,1380.08,1,0
2025-09-29 14:13:28,1381.08,1,0
2025-09-29 14:13:29,1382.08,1,0
2025-09-29 14:13:30,1383.08,1,0
2025-09-29 14:33:31,2584.09,1,1
2025-09-29 14:33:32,2585.09,1,1
2025-09-29 14:33:33,2586.09,1,1
2025-09-29 14:33:34,2587.10,1,1
2025-09-29 14:33:35,2588.10,1,1
2025-09-29 14:33:37,2590.10,1,0
2025-09-29 14:33:38,2591.10,1,0
2025-09-29 14:33:39,2592.10,1,0
2025-09-29 14:33:40,2593.10,1,0
2025-09-29 14:33:41,2594.11,1,0
2025-09-29 14:53:42,3795.12,1,1
2025-09-29 14:53:43,3796.13,1,1
2025-09-29 14:53:44,3797.13,1,1
2025-09-29 14:53:45,3798.13,1,1
2025-09-29 14:53:46,3799.13,1,1
2025-09-29 14:53:48,3801.14,1,0
2025-09-29 14:53:49,3802.14,1,0
2025-09-29 14:53:50,3803.14,1,0
2025-09-29 14:53:51,3804.14,1,0
2025-09-29 14:53:52,3805.14,1,0
2025-09-29 15:13:53,5006.15,1,1
2025-09-29 15:13:54,5007.15,1,1
2025-09-29 15:13:55,5008.16,1,1
2025-09-29 15:13:56,5009.16,1,1
2025-09-29 15:13:57,5010.16,1,1
2025-09-29 15:13:59,5012.16,1,0
2025-09-29 15:14:00,5013.16,1,0
2025-09-29 15:14:01,5014.17,1,0
2025-09-29 15:14:02,5015.17,1,0
2025-09-29 15:14:03,5016.17,1,0
