timestamp_utc,system_uptime_s,sound_detected,is_buzzer_on
2025-09-28 13:42:23,1127.11,1,1
2025-09-28 13:42:23,1127.11,1,1
2025-09-28 13:42:23,1127.11,1,1
2025-09-28 13:42:23,1127.11,1,1
2025-09-28 13:42:23,1127.11,1,1
2025-09-28 13:42:23,1127.11,1,0
2025-09-28 13:42:23,1127.11,1,0
2025-09-28 13:42:23,1127.11,1,0
2025-09-28 13:42:23,1127.11,1,0
2025-09-28 13:42:23,1127.11,1,0
2025-09-28 13:42:33,1137.13,1,1
2025-09-28 13:42:33,1137.13,1,1
2025-09-28 13:42:33,1137.13,1,1
2025-09-28 13:42:33,1137.13,1,1
2025-09-28 13:42:33,1137.13,1,1
2025-09-28 13:42:33,1137.13,1,0
2025-09-28 13:42:33,1137.13,1,0
2025-09-28 13:42:33,1137.13,1,0
2025-09-28 13:42:33,1137.13,1,0
2025-09-28 13:42:33,1137.13,1,0
2025-09-28 13:43:52,1215.79,1,1
2025-09-28 13:43:52,1215.79,1,1
2025-09-28 13:43:52,1215.79,1,1
2025-09-28 13:43:52,1215.79,1,1
2025-09-28 13:43:52,1215.79,1,1
2025-09-28 13:43:52,1215.79,1,0
2025-09-28 13:43:52,1215.79,1,0
2025-09-28 13:43:52,1215.79,1,0
2025-09-28 13:43:52,1215.79,1,0
2025-09-28 13:43:52,1215.79,1,0
2025-09-28 13:44:02,1225.82,1,1
2025-09-28 13:44:02,1225.82,1,1
2025-09-28 13:44:02,1225.82,1,1
2025-09-28 13:44:02,1225.82,1,1
2025-09-28 13:44:02,1225.82,1,1
2025-09-28 13:44:02,1225.82,1,0
2025-09-28 13:44:02,1225.82,1,0
2025-09-28 13:44:02,1225.82,1,0
2025-09-28 13:44:02,1225.82,1,0
2025-09-28 13:44:02,1225.82,1,0
2025-09-28 13:44:17,1240.83,1,1
2025-09-28 13:44:17,1240.83,1,1
2025-09-28 13:44:17,1240.83,1,1
2025-09-28 13:44:17,1240.83,1,1
2025-09-28 13:44:17,1240.83,1,1
2025-09-28 13:44:17,1240.83,1,0
2025-09-28 13:44:17,1240.83,1,0
2025-09-28 13:44:17,1240.83,1,0
2025-09-28 13:44:17,1240.83,1,0
2025-09-28 13:44:17,1240.83,1,0
2025-09-28 13:44:32,1255.86,1,1
2025-09-28 13:44:32,1255.86,1,1
2025-09-28 13:44:32,1255.86,1,1
2025-09-28 13:44:32,1255.86,1,1
2025-09-28 13:44:32,1255.86,1,1
2025-09-28 13:44:32,1255.86,1,0
2025-09-28 13:44:32,1255.86,1,0
2025-09-28 13:44:32,1255.86,1,0
2025-09-28 13:44:32,1255.86,1,0
2025-09-28 13:44:32,1255.86,1,0
2025-09-28 13:44:47,1270.88,1,1
2025-09-28 13:44:47,1270.88,1,1
2025-09-28 13:44:47,1270.88,1,1
2025-09-28 13:44:47,1270.88,1,1
2025-09-28 13:44:47,1270.88,1,1
2025-09-28 13:44:47,1270.88,1,0
2025-09-28 13:44:47,1270.88,1,0
2025-09-28 13:44:47,1270.88,1,0
2025-09-28 13:44:47,1270.88,1,0
2025-09-28 13:44:47,1270.88,1,0
2025-09-28 13:45:02,1285.90,1,1
2025-09-28 13:45:02,1285.90,1,1
2025-09-28 13:45:02,1285.90,1,1
2025-09-28 13:45:02,1285.90,1,1
2025-09-28 13:45:02,1285.90,1,1
2025-09-28 13:45:02,1285.90,1,0
2025-09-28 13:45:02,1285.90,1,0
2025-09-28 13:45:02,1285.90,1,0
2025-09-28 13:45:02,1285.90,1,0
2025-09-28 13:45:02,1285.90,1,0
2025-09-28 13:45:17,1300.92,1,1
2025-09-28 13:45:17,1300.92,1,1
2025-09-28 13:45:17,1300.92,1,1
2025-09-28 13:45:17,1300.92,1,1
2025-09-28 13:45:17,1300.92,1,1
2025-09-28 13:45:17,1300.92,1,0
2025-09-28 13:45:17,1300.92,1,0
2025-09-28 13:45:17,1300.92,1,0
2025-09-28 13:45:17,1300.92,1,0
2025-09-28 13:45:17,1300.92,1,0
2025-09-28 13:45:32,1315.94,1,1
2025-09-28 13:45:32,1315.94,1,1
2025-09-28 13:45:32,1315.94,1,1
2025-09-28 13:45:32,1315.94,1,1
2025-09-28 13:45:32,1315.94,1,1
2025-09-28 13:45:32,1315.94,1,0
2025-09-28 13:45:32,1315.94,1,0
2025-09-28 13:45:32,1315.94,1,0
2025-09-28 13:45:32,1315.94,1,0
2025-09-28 13:45:32,1315.94,1,0
